villes;Nom hotel;Note;URL;Description
Mont Saint Michel;Hôtel Vert;Avec une note de 8;https://www.booking.com/hotel/fr/vert.fr.html?aid=304142&label=gen173bo-1DCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWANoTYgBAZgBDbgBF8gBDNgBA-gBAfgBA4gCAZgCAqgCA7gCl_m0uAbAAgHSAiRiNmY4ZjNkNC1hOTBmLTQzNDMtYjI1Ni00ZjQ0ZmQ5MDY1YWLYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=3ab66ecb42cd028b&srepoch=1728920728&from_sustainable_property_sr=1&from=searchresults;"L’Hotel Vert vous propose des chambres décorées dans des tons pastel, dotées d’une salle de bains privative, d’une télévision ainsi que d’une connexion Wi-Fi gratuite. Il vous accueille à 2 km de l’île intertidale du Mont Saint-Michel, sur la côte normande.

Lors de votre séjour, vous pourrez déguster une cuisine régionale au restaurant du Vert, La salicorne. Vous pourrez également apprécier le bar de l'hôtel, L'Equinoxe, qui s'ouvre sur une terrasse privée.

Le Vert Hotel met également à votre disposition une réception ouverte 24h/24 ainsi qu’un parking privé. Vous bénéficierez aussi d’un supermarché et d’une boutique de souvenirs sur place."
Mont Saint Michel;Hotel Gabriel;Avec une note de 8;https://www.booking.com/hotel/fr/hotel-gabriel.fr.html?aid=304142&label=gen173bo-1DCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWANoTYgBAZgBDbgBF8gBDNgBA-gBAfgBA4gCAZgCAqgCA7gCl_m0uAbAAgHSAiRiNmY4ZjNkNC1hOTBmLTQzNDMtYjI1Ni00ZjQ0ZmQ5MDY1YWLYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=3ab66ecb42cd028b&srepoch=1728920728&from_sustainable_property_sr=1&from=searchresults;"L’Hotel Gabriel vous accueille à 1,6 km du Mont-Saint-Michel. L’établissement est à seulement 25 minutes à pied des remparts de la vieille ville. Il propose une connexion Wi-Fi gratuite ainsi que des chambres avec salle de bains privative.

Accessibles par des escaliers, les chambres spacieuses de l'hôtel comprennent la télévision par satellite. Chaque hébergement dispose d’une salle de bains pourvue d’une douche.

Un petit-déjeuner buffet est proposé chaque matin.

L’Hotel Gabriel est situé à 6 minutes en voiture de l’autoroute E401. Vous séjournerez également à 7,3 km de la gare TGV de Pontorson, qui dessert Paris.

La Salicorne vous propose une cuisine internationale authentique, végétale, colorée, festive et écoresponsable. Le Pré Salé sert l'agneau du Pré Salé et une cuisine française semi-gastronomique. Des plats végétariens et locaux vous attendent à l’Hippocampe."
Mont Saint Michel;Le Mouton Blanc;Avec une note de 7.2;https://www.booking.com/hotel/fr/le-mouton-blanc-le-mont-saint-michel.fr.html?aid=304142&label=gen173bo-1DCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWANoTYgBAZgBDbgBF8gBDNgBA-gBAfgBA4gCAZgCAqgCA7gCl_m0uAbAAgHSAiRiNmY4ZjNkNC1hOTBmLTQzNDMtYjI1Ni00ZjQ0ZmQ5MDY1YWLYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=3ab66ecb42cd028b&srepoch=1728920728&from=searchresults;"Situé au pied de l’abbaye, l’hôtel Le Mouton Blanc vous accueille dans son bâtiment historique datant du XIVe siècle. Il propose des chambres confortables à la décoration simple et chaleureuse.

Les chambres sont réparties dans 3 bâtiments. L'un d'eux offre une vue sur le Mont-Saint-Michel et un autre comporte des chambres de style médiéval.

Le restaurant du Mouton Blanc sert une cuisine locale traditionnelle dans la salle à manger ou sur la terrasse. Le petit-déjeuner est servi tous les jours.

Vous pourrez bénéficier de services personnalisés sur demande pour des visites, des loisirs et d’autres activités.

Veuillez noter que la réception de l'hôtel Le Mouton Blanc est actuellement fermée. Veuillez noter que les modalités d'arrivée se font à la réception de l'hôtel Les Terrasses Poulard."
Mont Saint Michel;Auberge Saint Pierre;Avec une note de 8.1;https://www.booking.com/hotel/fr/auberge-saint-pierre.fr.html?aid=304142&label=gen173bo-1DCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWANoTYgBAZgBDbgBF8gBDNgBA-gBAfgBA4gCAZgCAqgCA7gCl_m0uAbAAgHSAiRiNmY4ZjNkNC1hOTBmLTQzNDMtYjI1Ni00ZjQ0ZmQ5MDY1YWLYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=3ab66ecb42cd028b&srepoch=1728920728&from=searchresults;"L'Auberge Saint-Pierre occupe une maison à colombages du XIVe siècle située au Mont-Saint-Michel, une île accessible à marée basse. Elle allie le charme d'époque des poutres apparentes à des éléments de confort moderne comme une télévision et une connexion Wi-Fi gratuite. 

Les chambres de l'Auberge Saint Pierre disposent d'une salle de bains privative avec une baignoire ou une douche. Certaines offrent une vue sur la mer. 

L'établissement sert un petit-déjeuner buffet tous les matins. Vous pourrez prendre vos repas au restaurant authentique présent sur place qui sert une cuisine normande traditionnelle et des plats de poisson.

Installé dans la rue principale menant à l'abbaye, cet hôtel constitue un pied-à-terre idéal pour visiter le mont Saint-Michel. Certaines chambres se trouvent dans 2 bâtiments séparés accessibles par de nombreuses marches."
Mont Saint Michel;Le Relais Saint Michel;Avec une note de 8;https://www.booking.com/hotel/fr/le-relais-saint-michel.fr.html?aid=304142&label=gen173bo-1DCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWANoTYgBAZgBDbgBF8gBDNgBA-gBAfgBA4gCAZgCAqgCA7gCl_m0uAbAAgHSAiRiNmY4ZjNkNC1hOTBmLTQzNDMtYjI1Ni00ZjQ0ZmQ5MDY1YWLYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=3ab66ecb42cd028b&srepoch=1728920728&from_sustainable_property_sr=1&from=searchresults;"Le Relais Saint Michel vous accueille face à la baie du Mont-Saint-Michel. Les chambres de cet hôtel (à l'exception de la chambre lits jumeaux Saint-Michel avec vue intérieure) possèdent toutes une terrasse privée et certaines vous offrent une vue panoramique sur le Mont-Saint-Michel.

Insonorisées, confortables et spacieuses, les chambres sont dotées d'équipements modernes, dont un minibar et une connexion Wi-Fi gratuite. Leurs salles de bains sont privatives.

Le restaurant de l'hôtel vous servira une cuisine traditionnelle. Lors de votre séjour, vous pourrez prendre un verre ou un repas sur la terrasse qui offre une vue sur le Mont-Saint-Michel.

Un service de navette gratuit s'arrête en face de l'établissement et relie le célèbre Mont-Saint-Michel en seulement 10 minutes. Des gilets de sécurité vous seront proposés si vous souhaitez faire une promenade la nuit. Par ailleurs, si vous arrivez en voiture, vous pourrez profiter d'un espace de stationnement surveillé moyennant des frais supplémentaires."
Mont Saint Michel;La Vieille Auberge;Avec une note de 7.4;https://www.booking.com/hotel/fr/la-vieille-auberge-le-mont-saint-michel.fr.html?aid=304142&label=gen173bo-1DCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWANoTYgBAZgBDbgBF8gBDNgBA-gBAfgBA4gCAZgCAqgCA7gCl_m0uAbAAgHSAiRiNmY4ZjNkNC1hOTBmLTQzNDMtYjI1Ni00ZjQ0ZmQ5MDY1YWLYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=3ab66ecb42cd028b&srepoch=1728920728&from=searchresults;"La Vieille Auberge vous accueille dans le village médiéval du Mont-Saint-Michel, à quelques pas de la célèbre abbaye du Mont-Saint-Michel. L’établissement propose une connexion Wi-Fi gratuite, un restaurant et une terrasse avec vue sur la baie du Mont-Saint-Michel.

Les chambres sont aménagées dans 2 bâtiments annexes et accessibles par de multiples escaliers. Un bâtiment comprend des chambres standard donnant sur la rue principale et l’autre bâtiment, situé en haut du village, abrite des chambres avec vue sur la mer. Tous les logements disposent d’une télévision à écran plat et d’une salle de bains privative avec une baignoire ou une douche.

L’hôtel comporte un bar et un restaurant servant une cuisine française traditionnelle.

Vous séjournerez à 24 km d’Avranches et à 49 km de Cancale. La ville de Dol-de-Bretagne se trouve à 30 km."
Mont Saint Michel;Le Relais Du Roy;Avec une note de 8.2;https://www.booking.com/hotel/fr/le-relais-du-roy.fr.html?aid=304142&label=gen173bo-1DCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWANoTYgBAZgBDbgBF8gBDNgBA-gBAfgBA4gCAZgCAqgCA7gCl_m0uAbAAgHSAiRiNmY4ZjNkNC1hOTBmLTQzNDMtYjI1Ni00ZjQ0ZmQ5MDY1YWLYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=3ab66ecb42cd028b&srepoch=1728920728&from_sustainable_property_sr=1&from=searchresults;"Le Relais Du Roy est un hôtel 3 étoiles situé au bord du Couesnon, à seulement 1,5 km du Mont Saint-Michel et à 50 mètres de la navette gratuite.

Décorées dans un style classique, toutes les chambres comprennent une télévision par satellite à écran plat, un téléphone et un plateau de bienvenue. Elles comprennent également une salle de bains privative pourvue d’une baignoire ou d’une douche, d’articles de toilettes gratuits et d’un sèche-cheveux. Certaines chambres possèdent un balcon.

Un petit-déjeuner buffet est servi tous les matins.

Une épicerie se trouve à moins de 3 minutes à pied. La ville de Pontorson est quant à elle accessible à 7 km. Un espace de stationnement privé est disponible moyennant des frais supplémentaires."
Mont Saint Michel;La Mère Poulard;Avec une note de 7.2;https://www.booking.com/hotel/fr/la-mere-poulard.fr.html?aid=304142&label=gen173bo-1DCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWANoTYgBAZgBDbgBF8gBDNgBA-gBAfgBA4gCAZgCAqgCA7gCl_m0uAbAAgHSAiRiNmY4ZjNkNC1hOTBmLTQzNDMtYjI1Ni00ZjQ0ZmQ5MDY1YWLYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=3ab66ecb42cd028b&srepoch=1728920728&from=searchresults;"Installé dans un bâtiment historique, cet hôtel est idéalement situé au cœur du Mont Saint-Michel. Les chambres de style classique donnent sur la baie, l'abbaye ou la cité médiévale.

Toutes les chambres de La Mère Poulard sont équipées d'une télévision à écran plat et d'une connexion Wi-Fi gratuite. Leur salle de bains privative est pourvue d'une baignoire.

Lors de votre séjour, vous pourrez savourer les recettes de La Mère Poulard, dont l'omelette mondialement connue, dans le prestigieux restaurant. Vous aurez l’occasion de déguster un verre au piano-bar, en profitant de la vue sur la Baie du Mont Saint Michel.

Les activités dans les environs incluent la randonnée à pied et à vélo ainsi que les visites du Mont Saint-Michel. Avranches se trouve à 23 minutes en voiture. L’établissement La Mère Poulard se situe à 45 minutes de Saint-Malo."
Mont Saint Michel;Mercure Mont Saint Michel;Avec une note de 8.2;https://www.booking.com/hotel/fr/mont-saint-michel.fr.html?aid=304142&label=gen173bo-1DCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWANoTYgBAZgBDbgBF8gBDNgBA-gBAfgBA4gCAZgCAqgCA7gCl_m0uAbAAgHSAiRiNmY4ZjNkNC1hOTBmLTQzNDMtYjI1Ni00ZjQ0ZmQ5MDY1YWLYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=3ab66ecb42cd028b&srepoch=1728920728&from_sustainable_property_sr=1&from=searchresults;"Installé dans des espaces verts à seulement 2 km de l'abbaye du Mont-Saint-Michel, le Mercure Mont Saint Michel propose des chambres spacieuses avec salle de bains privative, un bar-restaurant et de nombreuses places de parking gratuites.

Les chambres du Mercure Mont Saint Michel sont dotées de la climatisation, d'un plateau/bouilloire et d'une télévision par satellite/câble à écran plat.

Le restaurant Le Pré Salé, célèbre dans la région, prépare de délicieux fruits de mer ainsi que des spécialités régionales. Le bar Le Normandy sert des boissons dans un cadre convivial et décontracté.

Le Mercure Mont Saint Michel vous accueille à 6,5 km de Pontorson et à 52 km de Saint-Malo."
Mont Saint Michel;Le Saint Aubert;Avec une note de 7.4;https://www.booking.com/hotel/fr/hotel-saint-aubert.fr.html?aid=304142&label=gen173bo-1DCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWANoTYgBAZgBDbgBF8gBDNgBA-gBAfgBA4gCAZgCAqgCA7gCl_m0uAbAAgHSAiRiNmY4ZjNkNC1hOTBmLTQzNDMtYjI1Ni00ZjQ0ZmQ5MDY1YWLYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=3ab66ecb42cd028b&srepoch=1728920728&from=searchresults;"Niché dans un écrin de verdure, à seulement 2 km du Mont-Saint-Michel, Le Saint Aubert vous accueille dans un cadre chaleureux et convivial.

Cet établissement vous propose des chambres paisibles et confortables entourées de jardins fleuris.

Après une journée de découverte du Mont-Saint-Michel, vous pourrez déguster une délicieuse cuisine régionale dans le cadre pittoresque d'une ancienne ferme.

Le personnel serviable sera heureux de vous recommander un grand nombre de sites d'intérêt et les visites à faire dans la région."
